class_name,food_name_vi,total_weight_suat_g,total_suat_kcal,source
Banh beo,Bánh bèo,100.0,280.3,NIN_Vietnam_Calculated
Banh bot loc,Bánh bột lọc,140.0,289.3,NIN_Vietnam_Calculated
Banh canh,Bánh canh,375.0,519.0,NIN_Vietnam_Calculated
Banh chung,Bánh chưng,600.0,1920.0,NIN_Vietnam_Calculated
Banh cuon,Bánh cuốn,130.0,254.2,NIN_Vietnam_Calculated
Banh can,Bánh căn,150.0,300.6,NIN_Vietnam_Calculated
Banh gio,Bánh giò,230.0,484.5,NIN_Vietnam_Calculated
Banh khot,Bánh khọt,125.0,200.7,NIN_Vietnam_Calculated
Banh mi,Bánh mì,260.0,571.8,NIN_Vietnam_Calculated
Banh pia,Bánh pía,230.0,786.0,NIN_Vietnam_Calculated
Banh trang nuong,Bánh tráng nướng,115.0,297.6,NIN_Vietnam_Calculated
Banh tet,Bánh tét,550.0,1813.0,NIN_Vietnam_Calculated
Banh xeo,Bánh xèo,327.0,640.2,NIN_Vietnam_Calculated
Banh duc,Bánh đúc,220.0,744.4,NIN_Vietnam_Calculated
Bun bo Hue,Bún bò Huế,365.0,446.5,NIN_Vietnam_Calculated
Bun mam,Bún mắm,330.0,382.8,NIN_Vietnam_Calculated
Bun rieu,Bún riêu,325.0,254.5,NIN_Vietnam_Calculated
Bun thit nuong,Bún thịt nướng,335.0,427.7,NIN_Vietnam_Calculated
Bun dau mam tom,Bún đậu mắm tôm,320.0,409.3,NIN_Vietnam_Calculated
Canh chua,Canh chua,395.0,239.6,NIN_Vietnam_Calculated
Cao lau,Cao lầu,285.0,271.7,NIN_Vietnam_Calculated
Chao long,Cháo lòng,215.0,442.6,NIN_Vietnam_Calculated
Ca kho to,Cá kho tộ,365.0,344.8,NIN_Vietnam_Calculated
Com tam,Cơm tấm,330.0,840.0,NIN_Vietnam_Calculated
Goi cuon,Gỏi cuốn,245.0,415.3,NIN_Vietnam_Calculated
Hu tieu,Hủ tiếu,220.0,301.1,NIN_Vietnam_Calculated
Mi quang,Mì Quảng,265.0,435.0,NIN_Vietnam_Calculated
Nem chua,Nem chua,205.0,274.4,NIN_Vietnam_Calculated
Pho,Phở,510.0,696.0,NIN_Vietnam_Calculated
Xoi xéo,Xôi xéo,285.0,938.2,NIN_Vietnam_Calculated
